TIME, VALUE
2023-01-15 18:15:07.181000,4.012119872
2023-01-15 18:16:07.183,4.01225205
2023-01-15 18:17:07.181,4.012419049
2023-01-15 18:18:07.181,4.012610993
2023-01-15 18:19:07.181,4.012727528
2023-01-15 18:20:07.181,4.012888798
2023-01-15 18:21:07.181,4.012997292
2023-01-15 18:22:07.181,4.013122123
2023-01-15 18:23:07.181,4.013317209
2023-01-15 18:24:07.181,4.013497856
2023-01-15 18:25:07.181,4.013651279
2023-01-15 18:26:07.181,4.01377125
2023-01-15 18:27:07.181,4.013900012
2023-01-15 18:28:07.181,4.014079217
2023-01-15 18:29:07.181,4.014216835
2023-01-15 18:30:07.181,4.014614587
2023-01-15 18:31:07.181,4.014730299
2023-01-15 18:32:07.181,4.014872463
2023-01-15 18:33:07.181,4.01504453
2023-01-15 18:34:07.181,4.015204798
2023-01-15 18:35:07.181,4.01533984
2023-01-15 18:36:07.181,4.015524126
2023-01-15 18:37:07.181,4.015639114
2023-01-15 18:38:07.181,4.015746433
2023-01-15 18:39:07.181,4.015871733
2023-01-15 18:40:07.181,4.016021039
2023-01-15 18:41:07.181,4.016160742
2023-01-15 18:42:07.181,4.016317144
2023-01-15 18:43:07.181,4.016467454
2023-01-15 18:44:07.181,4.016634359
2023-01-15 18:45:07.181,4.016793847
2023-01-15 18:46:07.181,4.016913083
2023-01-15 18:47:07.234,4.017048042
2023-01-15 18:48:07.181,4.017133375
2023-01-15 18:49:07.181,4.017266142
2023-01-15 18:50:07.181,4.017382299
2023-01-15 18:51:07.181,4.017529266
2023-01-15 18:52:07.181,4.017690372
2023-01-15 18:53:07.181,4.017797593
2023-01-15 18:54:07.181,4.017923975
2023-01-15 18:55:07.181,4.018090522
2023-01-15 18:56:07.181,4.018242362
2023-01-15 18:57:07.181,4.01838481
2023-01-15 18:58:07.181,4.018531997
2023-01-15 18:59:07.181,4.018646121
2023-01-15 19:00:07.181,4.018759086
2023-01-15 19:01:07.181,4.018929393
2023-01-15 19:02:07.181,4.019094185
2023-01-15 19:03:07.181,4.01919777
2023-01-15 19:04:07.181,4.019318286
2023-01-15 19:05:07.181,4.019408822
2023-01-15 19:06:07.181,4.019569511
2023-01-15 19:07:07.181,4.019686623
2023-01-15 19:08:07.181,4.019806617
2023-01-15 19:09:07.181,4.019909493
2023-01-15 19:10:07.181,4.020013454
2023-01-15 19:11:07.181,4.020112836
2023-01-15 19:12:07.181,4.020291044
2023-01-15 19:13:07.181,4.020444633
2023-01-15 19:14:07.181,4.020604146
2023-01-15 19:15:07.181,4.020730046
2023-01-15 19:16:07.181,4.020870467
2023-01-15 19:17:07.181,4.02101123
2023-01-15 19:18:07.181,4.021160356
2023-01-15 19:19:07.181,4.021291814
2023-01-15 19:20:07.181,4.021481005
2023-01-15 19:21:07.181,4.021608834
2023-01-15 19:22:07.181,4.021723484
2023-01-15 19:23:07.181,4.021914144
2023-01-15 19:24:07.181,4.022035912
2023-01-15 19:25:07.181,4.022159059
2023-01-15 19:26:07.181,4.022300843
2023-01-15 19:27:07.181,4.022465206
2023-01-15 19:28:07.181,4.022627267
2023-01-15 19:29:07.181,4.022749241
2023-01-15 19:30:07.181,4.022864463
2023-01-15 19:31:07.181,4.022994137
2023-01-15 19:32:07.181,4.023107906
2023-01-15 19:33:07.181,4.023284015
2023-01-15 19:34:07.181,4.023414791
2023-01-15 19:35:07.181,4.023600695
2023-01-15 19:36:07.181,4.023704358
2023-01-15 19:37:07.181,4.02381803
2023-01-15 19:38:07.181,4.023918157
2023-01-15 19:39:07.181,4.024042147
2023-01-15 19:40:07.181,4.024195401
2023-01-15 19:41:07.181,4.024298762
2023-01-15 19:42:07.181,4.024448413
2023-01-15 19:43:07.181,4.024604862
2023-01-15 19:44:07.181,4.024723486
2023-01-15 19:45:07.186,4.024826663
2023-01-15 19:46:07.181,4.024986858
2023-01-15 19:47:07.181,4.025076316
2023-01-15 19:48:07.181,4.025200101
2023-01-15 19:49:07.181,4.025352433
2023-01-15 19:50:07.181,4.025462599
2023-01-15 19:51:07.181,4.025572482
2023-01-15 19:52:07.181,4.025696306
2023-01-15 19:53:07.181,4.025918164
2023-01-15 19:54:07.181,4.026095702
2023-01-15 19:55:07.181,4.0262449
2023-01-15 19:56:07.181,4.026389251
2023-01-15 19:57:07.181,4.026583573
2023-01-15 19:58:07.181,4.026720891
2023-01-15 19:59:07.181,4.026832926
2023-01-15 20:00:07.181,4.026992876
2023-01-15 20:01:07.184,4.027135209
2023-01-15 20:02:07.181,4.0272765
2023-01-15 20:03:07.181,4.027437841
2023-01-15 20:04:07.181,4.027538906
2023-01-15 20:05:07.181,4.027661191
2023-01-15 20:06:07.181,4.027802743
2023-01-15 20:07:07.181,4.027941234
2023-01-15 20:08:07.181,4.028080207
2023-01-15 20:09:07.181,4.028201869
2023-01-15 20:10:07.181,4.028348098
2023-01-15 20:11:07.181,4.028486103
2023-01-15 20:12:07.181,4.028584493
2023-01-15 20:13:07.181,4.028742956
2023-01-15 20:14:07.183,4.028862627
2023-01-15 20:15:07.181,4.029045281
2023-01-15 20:16:07.181,4.029137155
2023-01-15 20:17:07.181,4.029258416
2023-01-15 20:18:07.181,4.02937982
2023-01-15 20:19:07.181,4.029585769
2023-01-15 20:20:07.181,4.02974475
2023-01-15 20:21:07.181,4.029827767
2023-01-15 20:22:07.181,4.029966831
2023-01-15 20:23:07.181,4.030216445
2023-01-15 20:24:07.181,4.030355836
2023-01-15 20:25:07.181,4.030607027
2023-01-15 20:26:07.181,4.030760638
2023-01-15 20:27:07.181,4.030945531
2023-01-15 20:28:07.181,4.031193564
2023-01-15 20:29:07.181,4.031338703
2023-01-15 20:30:07.181,4.031456467
2023-01-15 20:31:07.183,4.031563169
2023-01-15 20:32:07.181,4.031720093
2023-01-15 20:33:07.181,4.031959175
2023-01-15 20:34:07.181,4.032065492
2023-01-15 20:35:07.181,4.032161569
2023-01-15 20:36:07.181,4.032302136
2023-01-15 20:37:07.181,4.032407914
2023-01-15 20:38:07.181,4.032630762
2023-01-15 20:39:07.181,4.032742218
2023-01-15 20:40:07.181,4.032852246
2023-01-15 20:41:07.181,4.033026682
2023-01-15 20:42:07.181,4.033149393
2023-01-15 20:43:07.181,4.033273032
2023-01-15 20:44:07.181,4.033389204
2023-01-15 20:45:07.181,4.033525818
2023-01-15 20:46:07.181,4.033632813
2023-01-15 20:47:07.181,4.033745265
2023-01-15 20:48:07.186,4.033886729
2023-01-15 20:49:07.183,4.033977774
2023-01-15 20:50:07.181,4.073886427
2023-01-15 20:51:07.181,4.074065929
2023-01-15 20:52:07.181,4.074201455
2023-01-15 20:53:07.181,4.074425072
2023-01-15 20:54:07.181,4.074565528
2023-01-15 20:55:07.181,4.074767786
2023-01-15 20:56:07.181,4.074917182
2023-01-15 20:57:07.181,4.075057411
2023-01-15 20:58:07.181,4.075198894
2023-01-15 20:59:07.181,4.075409486
2023-01-15 21:00:07.181,4.075544416
2023-01-15 21:01:07.181,4.075711166
2023-01-15 21:02:07.181,4.075917642
2023-01-15 21:03:07.181,4.076032672
2023-01-15 21:04:07.181,4.076176114
2023-01-15 21:05:07.181,4.076311173
2023-01-15 21:06:07.181,4.07649694
2023-01-15 21:07:07.181,4.076625749
2023-01-15 21:08:07.181,4.076745216
2023-01-15 21:09:07.181,4.076880516
2023-01-15 21:10:07.181,4.077031678
2023-01-15 21:11:07.181,4.077141123
2023-01-15 21:12:07.181,4.077380469
2023-01-15 21:13:07.181,4.077528438
2023-01-15 21:14:07.181,4.077683942
2023-01-15 21:15:07.181,4.077838919
2023-01-15 21:16:07.181,4.077979517
2023-01-15 21:17:07.181,4.078098554
2023-01-15 21:18:07.181,4.078245069
2023-01-15 21:19:07.181,4.078362944
2023-01-15 21:20:07.181,4.078517607
2023-01-15 21:21:07.181,4.078652743
2023-01-15 21:22:07.181,4.078757609
2023-01-15 21:23:07.181,4.078849318
2023-01-15 21:24:07.183,4.079044146
2023-01-15 21:25:07.181,4.079152052
2023-01-15 21:26:07.181,4.079257432
2023-01-15 21:27:07.181,4.079386871
2023-01-15 21:28:07.183,4.079474496
2023-01-15 21:29:07.181,4.079597648
2023-01-15 21:30:07.181,4.079704537
2023-01-15 21:31:07.181,4.07984672
2023-01-15 21:32:07.181,4.079937209
