TIME, VALUE
2023-01-15 18:15:27.310000,10632193384448
2023-01-15 18:16:27.310,10632193384448
2023-01-15 18:17:27.310,10632193384448
2023-01-15 18:18:27.310,10632188338176
2023-01-15 18:19:27.310,10632188338176
2023-01-15 18:20:27.310,10632188338176
2023-01-15 18:21:27.310,10632188141568
2023-01-15 18:22:27.310,10632188141568
2023-01-15 18:23:27.310,10632188141568
2023-01-15 18:24:27.310,10632188141568
2023-01-15 18:25:27.310,10632188141568
2023-01-15 18:26:27.310,10632188141568
2023-01-15 18:27:27.310,10632188141568
2023-01-15 18:28:27.310,10632187617280
2023-01-15 18:29:27.310,10632187617280
2023-01-15 18:30:27.310,10632187617280
2023-01-15 18:31:27.310,10632187617280
2023-01-15 18:32:27.310,10632187617280
2023-01-15 18:33:27.310,10632187617280
2023-01-15 18:34:27.310,10632187617280
2023-01-15 18:35:27.310,10632187617280
2023-01-15 18:36:27.310,10632187617280
2023-01-15 18:37:27.310,10632187617280
2023-01-15 18:38:27.310,10632186830848
2023-01-15 18:39:27.310,10632186830848
2023-01-15 18:40:27.310,10632186830848
2023-01-15 18:41:27.310,10632186765312
2023-01-15 18:42:27.310,10632186765312
2023-01-15 18:43:27.310,10632186765312
2023-01-15 18:44:27.310,10632186765312
2023-01-15 18:45:27.310,10632186765312
2023-01-15 18:46:27.310,10632186765312
2023-01-15 18:47:27.310,10632186765312
2023-01-15 18:48:27.310,10632185978880
2023-01-15 18:49:27.313,10632185978880
2023-01-15 18:50:27.310,10632185978880
2023-01-15 18:51:27.310,10632185847808
2023-01-15 18:52:27.310,10632185847808
2023-01-15 18:53:27.310,10632185847808
2023-01-15 18:54:27.310,10632185847808
2023-01-15 18:55:27.310,10632185847808
2023-01-15 18:56:27.310,10632185847808
2023-01-15 18:57:27.310,10632185847808
2023-01-15 18:58:27.310,10632180736000
2023-01-15 18:59:27.310,10632180736000
2023-01-15 19:00:27.310,10632180736000
2023-01-15 19:01:27.310,10632180736000
2023-01-15 19:02:27.310,10632180736000
2023-01-15 19:03:27.310,10632180736000
2023-01-15 19:04:27.310,10632180736000
2023-01-15 19:05:27.310,10632180736000
2023-01-15 19:06:27.310,10632180736000
2023-01-15 19:07:27.310,10632180736000
2023-01-15 19:08:27.310,10632171692032
2023-01-15 19:09:27.310,10632171692032
2023-01-15 19:10:27.310,10632171692032
2023-01-15 19:11:27.310,10632171626496
2023-01-15 19:12:27.310,10632171626496
2023-01-15 19:13:27.310,10632171626496
2023-01-15 19:14:27.310,10632171626496
2023-01-15 19:15:27.310,10632171626496
2023-01-15 19:16:27.310,10632171626496
2023-01-15 19:17:27.310,10632171626496
2023-01-15 19:18:27.310,10632170708992
2023-01-15 19:19:27.310,10632170708992
2023-01-15 19:20:27.310,10632170708992
2023-01-15 19:21:27.310,10632170708992
2023-01-15 19:22:27.310,10632170708992
2023-01-15 19:23:27.310,10632170708992
